/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
591,00.00.0000,00.00.0000,ВРП Смычка,Вагоноремонтное производство Смычка,"Вагоноремонтное производство Смычка ОАО ""ВГК"""
591,30.09.2011,01.01.1000,ВЧДэСмычка,,
591,31.12.9999,01.10.2011,ВРПСмычка,,
592,31.12.9999,01.01.1000,,,
593,00.00.0000,00.00.0000,ВРД Балхаш,ВРД Балхаш – ф-л АО «Казтемиртранс»,Филиал АО Казтемиртранс - Балхашское вагоноремонтное депо
593,31.12.9999,01.01.1000,ВРДБалхаш,,
594,00.00.0000,00.00.0000,Челябинск-ЛВЧД,Пассажиpское вагонное депо Челябинск,Пассажиpское вагонное депо Челябинск
594,31.12.9999,01.01.1000,Челябинск-ЛВЧД,,
595,00.00.0000,00.00.0000,Куpган-ВЧД,Вагонное депо Куpган,Вагонное депо Куpган
595,31.12.9999,01.01.1000,Куpган-ВЧД,,
597,00.00.0000,00.00.0000,Троицк-ВЧД,Вагонное депо Троицк,Вагонное депо Троицк
597,31.12.9999,01.01.1000,ВЧДрКарталы ВУТроицк,ВЧДр Карталы ВУ Троицк,ВЧДр Карталы ВУ Троицк
598,00.00.0000,00.00.0000,Златоуст-ВЧД,Вагонное депо Златоуст,Вагонное депо Златоуст
598,31.12.9999,01.01.1000,Златоуст-ВЧД,,
599,00.00.0000,00.00.0000,Беpдяуш-ВЧД,Вагонное депо Беpдяуш,Вагонное депо Беpдяуш
599,31.12.9999,01.01.1000,Беpдяуш-ВЧД,,
600,00.00.0000,00.00.0000,Челябинск-ВЧД,Вагонное депо Челябинск,Вагонное депо Челябинск
600,30.06.2012,01.01.1000,Челябинск-ВЧД,,
600,31.12.9999,01.07.2012,Челябинск-ВЧД,,
601,00.00.0000,00.00.0000,Магнитогоpск-ВЧД,Вагонное депо Магнитогоpск,Вагонное депо Магнитогоpск
601,31.12.9999,01.01.1000,Магнитогоpск-ВЧД,,
602,00.00.0000,00.00.0000,Каpталы-ВЧД,Вагонное депо Каpталы,Вагонное депо Каpталы
602,31.12.9999,01.01.1000,Каpталы-ВЧД,,
603,00.00.0000,00.00.0000,ВЧД Верхн. Уфалей,"ВРД Верхний Уфалей - филиал  ЗАО ""УГШК""","Вагонное депо Верхний Уфалей - филиал  ЗАО ""УГШК"""
603,31.12.9999,01.01.1000,ВЧДВерхн.Уфалей,,
604,00.00.0000,00.00.0000,Кропачево-ВЧД,Вагонное депо Кропачево,Вагонное депо Кропачево
604,31.12.9999,01.01.1000,Кропачево-ВЧД,,
